UAvg,IA,IB,IC,UTHDAvg,ITHDAvg,PF,F,PSum,SSum,Iavg,Deviation_A,Deviation_B,Deviation_C,Max_Deviation,Current_Imbalance_%,Status
172.66,60.88,50.97,57.31,2.169,47.935,0.873,60.03,14447.23,16539.95,56.38666666666666,4.493333333333339,5.416666666666664,0.9233333333333391,5.416666666666664,9.606289903050364,Normal
172.51,62.1,51.9,58.44,2.122,47.189,0.878,60.01,14782.83,16841.09,57.48,4.6200000000000045,5.579999999999998,0.9600000000000009,5.579999999999998,9.707724425887262,Normal
172.11,64.78,54.72,61.13,2.296,45.091,0.881,60.08,15531.36,17624.66,60.21,4.57,5.490000000000002,0.9200000000000017,5.490000000000002,9.118086696562036,Normal
171.58,56.93,46.63,52.92,2.098,48.235,0.878,59.86,13318.23,15173.65,52.160000000000004,4.769999999999996,5.530000000000001,0.759999999999998,5.530000000000001,10.601993865030677,Warning
171.29,60.32,50.3,56.24,2.027,45.839,0.883,59.95,14285.45,16184.86,55.620000000000005,4.699999999999996,5.320000000000007,0.6199999999999974,5.320000000000007,9.56490471053579,Normal
173.18,45.79,37.32,42.61,1.878,49.046,0.876,60.02,10769.65,12296.03,41.906666666666666,3.883333333333333,4.586666666666666,0.7033333333333331,4.586666666666666,10.944957047406936,Warning
173.29,53.44,43.56,49.69,2.06,46.849,0.886,60.2,12718.3,14356.92,48.89666666666667,4.5433333333333294,5.336666666666666,0.7933333333333294,5.336666666666666,10.914172745245072,Warning
172.37,69.43,57.8,64.96,2.142,43.62,0.892,59.95,16735.57,18756.88,64.06333333333333,5.366666666666674,6.263333333333335,0.8966666666666612,6.263333333333335,9.776783391435561,Normal
172.73,80.21,68.21,75.88,2.187,42.416,0.889,59.98,19545.28,21976.79,74.76666666666667,5.443333333333328,6.556666666666672,1.1133333333333297,6.556666666666672,8.769505127061977,Normal
172.3,59.43,50.24,55.69,1.918,46.396,0.879,59.98,14202.38,16160.86,55.120000000000005,4.309999999999995,4.880000000000003,0.5699999999999932,4.880000000000003,8.853410740203197,Normal
172.09,55.92,45.88,52.26,1.815,47.969,0.881,60.08,13192.67,14982.28,51.35333333333333,4.56666666666667,5.473333333333329,0.9066666666666663,5.473333333333329,10.658185122679468,Warning
173.47,55.99,46.69,52.42,1.812,47.659,0.876,60.09,13343.76,15234.09,51.70000000000001,4.289999999999992,5.010000000000012,0.7199999999999918,5.010000000000012,9.690522243713755,Normal
172.81,58.19,48.37,54.78,2.015,49.759,0.87,59.98,13732.56,15775.9,53.78,4.409999999999997,5.410000000000004,1.0,5.410000000000004,10.059501673484574,Warning
172.88,70.79,60.59,65.74,2.071,42.143,0.883,60.01,17103.11,19370.39,65.70666666666666,5.083333333333343,5.11666666666666,0.03333333333333144,5.11666666666666,7.787134740259731,Normal
173.65,64.41,54.34,59.95,2.083,45.288,0.879,60.17,15469.96,17603.23,59.56666666666666,4.843333333333334,5.2266666666666595,0.38333333333333997,5.2266666666666595,8.77448237269165,Normal
173.11,64.24,54.64,59.52,2.06,44.988,0.874,60.08,15324.96,17541.45,59.46666666666667,4.773333333333326,4.826666666666668,0.053333333333334565,4.826666666666668,8.116591928251122,Normal
172.0,68.46,59.42,63.55,2.164,43.532,0.873,60.02,16362.66,18751.61,63.81,4.6499999999999915,4.390000000000001,0.2600000000000051,4.6499999999999915,7.287259050305581,Normal
170.78,74.95,65.47,70.37,2.317,42.104,0.88,59.92,18040.18,20501.26,70.26333333333334,4.686666666666667,4.7933333333333366,0.10666666666666913,4.7933333333333366,6.821955500735333,Normal
172.21,72.91,63.69,69.05,2.225,42.787,0.878,60.0,17691.5,20159.42,68.55,4.359999999999999,4.859999999999999,0.5,4.859999999999999,7.0897155361050315,Normal
171.37,78.77,69.51,74.63,2.207,41.206,0.88,60.08,19168.19,21773.58,74.30333333333333,4.466666666666669,4.793333333333322,0.326666666666668,4.793333333333322,6.451034049616424,Normal
172.4,83.28,73.79,79.29,2.281,40.95,0.881,60.05,20466.26,23228.01,78.78666666666668,4.493333333333325,4.99666666666667,0.5033333333333303,4.99666666666667,6.342020646471487,Normal
172.52,86.37,76.93,81.39,2.296,39.58,0.88,59.92,21211.49,24098.45,81.56333333333333,4.806666666666672,4.633333333333326,0.173333333333332,4.806666666666672,5.89317095099923,Normal
171.32,87.61,77.95,83.38,2.171,41.19,0.878,59.86,21367.8,24328.98,82.98,4.6299999999999955,5.030000000000001,0.3999999999999915,5.030000000000001,6.061701614846952,Normal
171.47,98.41,88.57,94.03,2.193,38.885,0.881,59.99,24257.71,27519.58,93.67,4.739999999999995,5.1000000000000085,0.35999999999999943,5.1000000000000085,5.444646098003639,Normal
