ProductSN:3421256001
Date&Time,,Voltage(V),,,,UTHD(%),,,,Current(A),,,,ITHD(%),,,,Frequency(Hz),Power Factor,Active Power(W),Reactive Power(Var),Apparent Power(Va),Active Energy(Wh),Reactive Energy(Varh),Apparent Energy(Vah),Current Demand(A),,,,Current Peak Demand(A)&Date,,,,,,,,Total Active Power Deamnd(W),Total Active Power Peak Deamnd(W)&Date,,Total Reactive Power Deamnd(Var),Total Reactive Power Peak Deamnd(Var)&Date,,Total Apparent Power Deamnd(Va),Total Apparent Power Peak Deamnd(Va)&Date,,
Date,Time,UAB,UBC,UCA,UAvg,UTHDAB,UTHDBC,UTHDCA,UTHDAvg,IA,IB,IC,IAvg,ITHDA,ITHDB,ITHDC,ITHDAvg,F,PF,PSum,QSum,SSum,EPSum,EQSum,ESSum,DmIA,DmIB,DmIC,DmIAVG,PDmIA,PDmIA_D/T,PDmIB,PDmIB_D/T,PDmIC,PDmIC_D/T,PDmIAVG,PDmIAVG_D/T,DmP,PDmP,PDmP_D/T,DmQ,PDmQ,PDmQ_D/T,DmS,PDmS,PDmS_D/T,
2023-01-18,00:00:00,139.76,140.84,244.55,175.05,2.257,2.206,2.103,2.189,66.22,55.21,62.72,61.38,39.314,48.596,48.746,45.552,59.85,0.886,16158.05,3273.45,18239.97,716813,136129,805378,63.70,52.97,60.90,59.19,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15427.95,26759.13,2023-01-16 15:39:38,3120.25,4890.27,2023-01-16 18:08:23,17490.29,29863.81,2023-01-16 18:03:49,
2023-01-18,00:10:00,139.64,140.70,244.29,174.88,2.220,2.147,2.066,2.145,75.95,64.76,72.53,71.08,38.001,46.196,45.102,43.100,60.02,0.889,18806.45,3692.15,21149.91,719665,136695,808594,65.72,54.86,62.58,61.05,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15997.15,26759.13,2023-01-16 15:39:38,3226.01,4890.27,2023-01-16 18:08:23,18097.25,29863.81,2023-01-16 18:03:49,
2023-01-18,00:20:00,139.65,140.70,244.27,174.87,2.134,2.091,1.998,2.074,75.43,64.38,72.08,70.63,38.408,46.833,46.073,43.771,59.99,0.887,18647.59,3640.06,21015.59,722441,137246,811724,65.81,55.01,62.63,61.15,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,16068.12,26759.13,2023-01-16 15:39:38,3223.98,4890.27,2023-01-16 18:08:23,18155.43,29863.81,2023-01-16 18:03:49,
2023-01-18,00:30:00,139.65,140.77,244.37,174.93,2.172,2.093,2.004,2.090,66.03,54.70,62.81,61.18,40.219,49.666,49.433,46.439,59.89,0.886,16080.21,3270.94,18146.94,725260,137812,814898,67.98,56.89,64.78,63.22,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,16655.91,26759.13,2023-01-16 15:39:38,3327.11,4890.27,2023-01-16 18:08:23,18785.15,29863.81,2023-01-16 18:03:49,
2023-01-18,00:40:00,138.92,140.01,243.10,174.01,2.116,2.056,1.967,2.047,67.73,55.96,64.27,62.65,39.684,49.209,49.229,46.041,60.04,0.888,16411.36,3325.20,18482.97,727891,138337,817856,68.25,57.02,65.07,63.45,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,16722.51,26759.13,2023-01-16 15:39:38,3328.95,4890.27,2023-01-16 18:08:23,18826.26,29863.81,2023-01-16 18:03:49,
2023-01-18,00:50:00,139.77,140.95,244.61,175.11,2.028,2.031,1.897,1.985,59.32,48.57,56.34,54.74,40.512,51.107,50.303,47.308,60.35,0.890,14449.26,2884.48,16231.29,730475,138854,820759,66.85,55.55,63.70,62.04,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,16339.59,26759.13,2023-01-16 15:39:38,3261.30,4890.27,2023-01-16 18:08:23,18379.96,29863.81,2023-01-16 18:03:49,
2023-01-18,01:00:00,138.81,140.01,242.97,173.93,2.150,2.143,2.029,2.107,63.22,52.21,60.62,58.68,40.879,50.907,49.965,47.250,59.77,0.888,15347.72,3063.75,17291.55,733025,139363,823629,64.34,53.12,61.29,59.58,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15674.52,26759.13,2023-01-16 15:39:38,3136.87,4890.27,2023-01-16 18:08:23,17625.69,29863.81,2023-01-16 18:03:49,
2023-01-18,01:10:00,139.47,140.65,244.07,174.73,2.172,2.189,2.058,2.140,63.21,52.82,60.57,58.87,40.682,49.544,49.357,46.528,60.04,0.885,15452.35,3060.97,17454.12,735723,139898,826664,64.41,53.30,61.40,59.70,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15706.19,26759.13,2023-01-16 15:39:38,3127.91,4890.27,2023-01-16 18:08:23,17658.26,29863.81,2023-01-16 18:03:49,
2023-01-18,01:20:00,139.94,141.04,244.81,175.26,2.250,2.298,2.147,2.232,68.24,57.48,64.67,63.46,38.175,47.429,48.550,44.718,60.13,0.888,16793.19,3337.65,18905.24,738160,140385,829426,62.71,51.99,59.82,58.17,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15284.69,26759.13,2023-01-16 15:39:38,3046.80,4890.27,2023-01-16 18:08:23,17226.87,29863.81,2023-01-16 18:03:49,
2023-01-18,01:30:00,139.86,140.92,244.59,175.12,2.212,2.279,2.125,2.205,57.48,48.03,55.15,53.56,43.730,51.775,52.060,49.188,60.02,0.874,13914.56,2848.50,15912.94,740812,140918,832420,63.92,53.22,61.04,59.39,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15599.74,26759.13,2023-01-16 15:39:38,3115.55,4890.27,2023-01-16 18:08:23,17603.26,29863.81,2023-01-16 18:03:49,
2023-01-18,01:40:00,140.03,141.27,245.09,175.46,2.168,2.211,2.070,2.150,61.29,50.44,59.17,56.97,41.983,51.960,50.842,48.262,60.08,0.887,15011.27,3001.57,16920.52,743193,141405,835125,62.16,51.70,59.43,57.77,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15143.34,26759.13,2023-01-16 15:39:38,3047.77,4890.27,2023-01-16 18:08:23,17132.98,29863.81,2023-01-16 18:03:49,
2023-01-18,01:50:00,138.59,139.66,242.45,173.57,2.094,2.102,1.973,2.057,53.98,44.12,51.54,49.88,41.980,52.176,52.632,48.929,60.05,0.884,12948.43,2585.98,14650.49,745596,141889,837843,61.53,51.11,58.82,57.15,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,14962.25,26759.13,2023-01-16 15:39:38,3019.06,4890.27,2023-01-16 18:08:23,16938.66,29863.81,2023-01-16 18:03:49,
2023-01-18,02:00:00,138.44,139.49,242.05,173.32,2.291,2.331,2.196,2.273,63.85,53.94,60.86,59.55,39.419,48.304,48.707,45.477,59.98,0.883,15494.53,3089.14,17542.89,748206,142406,840779,61.44,50.95,58.70,57.03,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,14900.94,26759.13,2023-01-16 15:39:38,3005.18,4890.27,2023-01-16 18:08:23,16850.86,29863.81,2023-01-16 18:03:49,
2023-01-18,02:10:00,138.38,139.41,242.03,173.27,2.245,2.348,2.185,2.259,74.09,62.48,70.39,68.99,37.385,46.159,45.675,43.073,60.04,0.893,18133.79,3564.93,20317.24,750945,142956,843865,62.77,52.14,59.84,58.25,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15211.13,26759.13,2023-01-16 15:39:38,3056.61,4890.27,2023-01-16 18:08:23,17168.71,29863.81,2023-01-16 18:03:49,
2023-01-18,02:20:00,138.69,139.79,242.59,173.69,2.179,2.233,2.083,2.165,58.70,48.27,55.54,54.17,39.993,49.764,50.192,46.650,60.17,0.888,14153.67,2857.94,15943.23,753680,143500,846947,65.48,54.79,62.32,60.86,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15891.96,26759.13,2023-01-16 15:39:38,3170.34,4890.27,2023-01-16 18:08:23,17908.52,29863.81,2023-01-16 18:03:49,
2023-01-18,02:30:00,138.54,139.69,242.35,173.53,2.262,2.330,2.182,2.258,66.24,55.94,63.43,61.87,38.947,46.978,47.393,44.439,60.15,0.887,16180.93,3171.28,18242.27,756238,144007,849817,66.23,55.44,62.94,61.54,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,16085.61,26759.13,2023-01-16 15:39:38,3206.21,4890.27,2023-01-16 18:08:23,18102.06,29863.81,2023-01-16 18:03:49,
2023-01-18,02:40:00,139.13,140.18,243.30,174.20,2.225,2.268,2.140,2.211,63.07,52.49,59.76,58.44,40.203,48.850,48.996,46.016,60.31,0.887,15326.96,3064.45,17277.64,758969,144553,852889,67.06,56.12,63.78,62.32,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,16303.62,26759.13,2023-01-16 15:39:38,3246.81,4890.27,2023-01-16 18:08:23,18333.06,29863.81,2023-01-16 18:03:49,
2023-01-18,02:50:00,138.82,139.88,242.72,173.80,2.156,2.172,2.042,2.123,58.21,47.83,55.86,53.96,41.907,51.986,51.928,48.607,60.01,0.883,14017.23,2838.59,15878.47,761383,145038,855629,63.41,52.88,60.43,58.91,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15383.74,26759.13,2023-01-16 15:39:38,3071.45,4890.27,2023-01-16 18:08:23,17338.95,29863.81,2023-01-16 18:03:49,
2023-01-18,03:00:00,138.47,139.50,242.11,173.36,2.200,2.233,2.114,2.182,60.64,50.81,57.98,56.48,42.522,50.779,51.301,48.201,59.90,0.877,14581.00,2956.47,16617.94,764071,145572,858673,64.53,54.06,61.67,60.09,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15682.75,26759.13,2023-01-16 15:39:38,3131.08,4890.27,2023-01-16 18:08:23,17704.51,29863.81,2023-01-16 18:03:49,
2023-01-18,03:10:00,138.89,139.97,242.79,173.88,2.145,2.170,2.049,2.122,59.73,50.99,58.10,56.27,42.289,50.457,50.314,47.686,60.25,0.877,14595.08,2814.86,16632.63,766522,146060,861480,63.45,53.41,60.86,59.24,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15395.28,26759.13,2023-01-16 15:39:38,3076.47,4890.27,2023-01-16 18:08:23,17466.04,29863.81,2023-01-16 18:03:49,
2023-01-18,03:20:00,138.74,139.78,242.61,173.71,2.051,2.051,1.940,2.014,58.04,48.30,55.31,53.88,42.227,50.499,51.397,48.041,60.05,0.880,13971.43,2798.78,15880.93,768992,146547,864286,62.58,52.83,60.22,58.54,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15177.32,26759.13,2023-01-16 15:39:38,3019.21,4890.27,2023-01-16 18:08:23,17260.48,29863.81,2023-01-16 18:03:49,
2023-01-18,03:30:00,138.71,139.69,242.44,173.61,2.224,2.261,2.127,2.204,59.12,49.40,56.80,55.11,43.071,52.683,53.474,49.742,60.06,0.878,14249.21,2859.87,16230.79,771419,147026,867052,61.93,52.46,59.69,58.03,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15025.07,26759.13,2023-01-16 15:39:38,2969.97,4890.27,2023-01-16 18:08:23,17108.87,29863.81,2023-01-16 18:03:49,
2023-01-18,03:40:00,138.84,139.85,242.69,173.79,2.227,2.250,2.131,2.203,60.08,51.01,57.75,56.28,42.094,49.658,50.672,47.475,60.09,0.875,14555.41,2892.65,16627.49,773877,147511,869849,60.47,51.18,58.27,56.64,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,14653.23,26759.13,2023-01-16 15:39:38,2892.82,4890.27,2023-01-16 18:08:23,16696.15,29863.81,2023-01-16 18:03:49,
2023-01-18,03:50:00,138.79,139.82,242.65,173.76,2.189,2.210,2.089,2.163,58.53,48.88,55.77,54.39,42.169,50.496,51.558,48.074,60.02,0.879,14094.67,2864.16,16039.66,776245,147987,872550,60.24,50.89,57.85,56.33,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,14583.36,26759.13,2023-01-16 15:39:38,2892.07,4890.27,2023-01-16 18:08:23,16604.53,29863.81,2023-01-16 18:03:49,
2023-01-18,04:00:00,138.10,139.16,241.48,172.91,1.910,1.958,1.808,1.892,49.67,40.71,47.97,46.12,47.614,57.037,57.855,54.169,60.18,0.865,11670.39,2405.19,13490.97,778426,148426,875051,59.11,49.89,56.78,55.26,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,14286.35,26759.13,2023-01-16 15:39:38,2843.83,4890.27,2023-01-16 18:08:23,16290.95,29863.81,2023-01-16 18:03:49,
2023-01-18,04:10:00,137.96,139.01,241.22,172.73,1.996,2.019,1.891,1.968,57.16,47.84,54.93,53.31,42.929,51.930,51.933,48.930,60.01,0.877,13711.87,2704.67,15626.27,780601,148862,877538,56.72,47.54,54.44,52.90,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,13605.46,26759.13,2023-01-16 15:39:38,2726.41,4890.27,2023-01-16 18:08:23,15550.22,29863.81,2023-01-16 18:03:49,
2023-01-18,04:20:00,137.58,138.56,240.56,172.23,1.913,1.889,1.793,1.865,62.91,52.02,60.08,58.33,43.300,52.755,53.096,49.717,60.02,0.877,14934.98,3047.73,17027.94,783000,149344,880267,56.52,47.08,54.21,52.61,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,13505.66,26759.13,2023-01-16 15:39:38,2715.71,4890.27,2023-01-16 18:08:23,15429.98,29863.81,2023-01-16 18:03:49,
2023-01-18,04:30:00,137.52,138.50,240.50,172.17,1.950,1.964,1.840,1.918,63.37,52.41,60.15,58.64,41.629,50.671,51.491,47.931,60.00,0.884,15139.97,3042.04,17120.36,785139,149774,882712,55.75,46.26,53.53,51.85,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,13260.14,26759.13,2023-01-16 15:39:38,2665.26,4890.27,2023-01-16 18:08:23,15159.09,29863.81,2023-01-16 18:03:49,
2023-01-18,04:40:00,136.87,137.82,239.32,171.34,2.059,2.067,1.960,2.029,64.21,52.78,60.73,59.24,41.334,50.773,51.387,47.831,59.83,0.886,15232.82,3108.72,17200.37,787638,150274,885542,58.48,48.53,55.94,54.32,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,13928.79,26759.13,2023-01-16 15:39:38,2795.67,4890.27,2023-01-16 18:08:23,15856.98,29863.81,2023-01-16 18:03:49,
2023-01-18,04:50:00,137.15,138.12,239.77,171.68,2.123,2.144,2.031,2.099,69.96,58.89,66.15,65.00,38.980,47.783,47.775,44.846,60.30,0.887,16817.56,3329.68,18967.08,790364,150816,888617,61.65,51.25,58.80,57.23,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,14704.03,26759.13,2023-01-16 15:39:38,2942.67,4890.27,2023-01-16 18:08:23,16683.38,29863.81,2023-01-16 18:03:49,
2023-01-18,05:00:00,138.32,139.31,241.83,173.15,2.105,2.168,2.008,2.094,58.93,48.80,56.08,54.60,41.417,49.956,51.189,47.521,60.03,0.882,14145.45,2826.79,16031.66,793093,151356,891693,64.69,54.01,61.55,60.08,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15502.35,26759.13,2023-01-16 15:39:38,3086.11,4890.27,2023-01-16 18:08:23,17529.50,29863.81,2023-01-16 18:03:49,
2023-01-18,05:10:00,137.86,138.87,241.04,172.59,2.097,2.138,1.988,2.074,64.18,53.47,61.20,59.62,42.320,50.557,51.295,48.057,59.95,0.881,15377.29,3117.19,17457.40,795815,151894,894770,67.13,56.31,63.79,62.41,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,16167.04,26759.13,2023-01-16 15:39:38,3208.62,4890.27,2023-01-16 18:08:23,18253.14,29863.81,2023-01-16 18:03:49,
2023-01-18,05:20:00,137.56,138.50,240.44,172.17,1.999,1.992,1.869,1.954,56.83,47.67,53.62,52.71,41.662,49.121,50.193,46.992,60.01,0.879,13550.95,2721.89,15419.64,798077,152351,897346,65.24,54.80,62.03,60.69,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15716.71,26759.13,2023-01-16 15:39:38,3122.80,4890.27,2023-01-16 18:08:23,17775.38,29863.81,2023-01-16 18:03:49,
2023-01-18,05:30:00,137.57,138.57,240.53,172.23,2.148,2.167,2.048,2.121,71.13,60.59,67.59,66.44,39.347,46.882,47.009,44.413,60.01,0.884,17222.03,3400.02,19471.07,800539,152841,900140,63.01,52.96,59.79,58.58,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15170.93,26759.13,2023-01-16 15:39:38,3021.79,4890.27,2023-01-16 18:08:23,17184.38,29863.81,2023-01-16 18:03:49,
2023-01-18,05:40:00,136.92,138.01,239.54,171.49,2.034,2.004,1.897,1.978,66.08,55.76,62.97,61.61,38.322,46.743,47.315,44.126,59.94,0.889,15957.20,3068.39,17952.44,803471,153413,903441,64.41,54.34,61.06,59.94,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15498.81,26759.13,2023-01-16 15:39:38,3072.43,4890.27,2023-01-16 18:08:23,17547.80,29863.81,2023-01-16 18:03:49,
2023-01-18,05:50:00,138.57,139.59,242.34,173.50,2.128,2.088,1.997,2.071,73.38,61.76,69.84,68.33,39.215,47.495,47.957,44.889,59.96,0.887,17859.55,3536.50,20141.78,806145,153934,906454,65.26,55.09,61.86,60.74,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,15711.38,26759.13,2023-01-16 15:39:38,3092.31,4890.27,2023-01-16 18:08:23,17754.41,29863.81,2023-01-16 18:03:49,
2023-01-18,06:00:00,138.54,139.56,242.25,173.45,2.024,1.942,1.872,1.946,71.92,60.81,67.98,66.90,37.687,45.910,46.863,43.487,59.97,0.889,17543.46,3470.15,19736.38,809022,154508,909701,69.46,58.65,65.95,64.69,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,16816.48,26759.13,2023-01-16 15:39:38,3304.97,4890.27,2023-01-16 18:08:23,18962.41,29863.81,2023-01-16 18:03:49,
2023-01-18,06:10:00,138.23,139.35,241.77,173.12,2.156,2.136,2.029,2.107,73.67,62.94,70.11,68.91,38.277,45.600,46.175,43.350,60.08,0.886,17991.53,3510.42,20303.00,811885,155076,912933,69.46,58.53,65.98,64.66,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,16833.86,26759.13,2023-01-16 15:39:38,3322.46,4890.27,2023-01-16 18:08:23,18987.02,29863.81,2023-01-16 18:03:49,
2023-01-18,06:20:00,138.02,138.94,241.27,172.74,2.086,2.021,1.923,2.010,61.89,52.08,57.79,57.26,39.025,45.620,48.555,44.400,59.98,0.881,14823.57,2986.23,16822.54,814689,155627,916109,69.90,59.12,66.36,65.13,178.76,2023-01-16 12:38:49,128.04,2023-01-16 12:38:49,152.47,2023-01-16 12:38:49,153.09,2023-01-16 12:38:49,16976.46,26759.13,2023-01-16 15:39:38,3356.93,4890.27,2023-01-16 18:08:23,19174.55,29863.81,2023-01-16 18:03:49,
