UAvg,IA,IB,IC,UTHDAvg,ITHDAvg,PF,F,PSum,SSum
174.41,91.78,82.29,88.96,2.364,37.386,0.892,60.13,23337.4,26164.05
173.07,93.53,82.92,90.26,2.587,37.837,0.892,59.97,23464.88,26293.77
173.28,92.42,81.74,89.68,2.365,38.322,0.894,60.15,23277.28,26028.17
172.9,95.09,84.57,91.56,2.544,37.426,0.892,59.92,23850.21,26728.88
173.13,90.54,79.79,87.16,2.37,38.548,0.894,59.94,22681.07,25379.91
173.08,93.72,82.94,90.71,2.382,38.1,0.894,60.11,23552.93,26353.07
173.27,88.62,77.76,85.11,2.577,37.924,0.897,60.13,22242.42,24798.33
172.99,79.68,69.27,76.73,2.433,41.73,0.889,60.03,19724.8,22185.64
173.33,89.79,78.38,86.52,2.518,39.832,0.893,60.01,22426.83,25100.86
173.48,95.78,82.97,92.1,2.574,40.145,0.893,59.91,23833.24,26692.38
173.85,85.94,74.27,82.69,2.386,39.819,0.895,59.92,21466.17,23983.18
174.42,91.32,79.38,87.49,2.434,39.532,0.893,60.03,22871.8,25600.99
175.24,81.97,70.17,78.7,2.369,42.227,0.893,60.03,20489.85,22947.86
173.03,82.42,70.44,79.0,2.354,41.904,0.893,60.18,20317.37,22756.05
173.1,71.4,61.46,69.02,2.074,42.779,0.891,60.12,17670.54,19829.39
173.3,84.37,72.29,81.18,2.403,40.738,0.897,60.03,20964.54,23380.07
173.5,91.47,78.84,87.68,2.341,39.95,0.896,60.11,22774.46,25416.15
173.5,88.31,76.33,84.76,2.367,40.705,0.892,60.0,21930.71,24578.77
173.66,84.43,73.08,80.91,2.476,41.162,0.89,59.96,20942.98,23525.63
173.41,76.45,65.08,72.96,2.3,43.7,0.888,59.91,18717.52,21089.8
173.42,76.23,65.41,72.3,2.34,41.443,0.889,59.83,18727.78,21067.53
173.73,85.14,74.71,81.54,2.321,38.991,0.891,60.06,21277.61,23868.23
173.82,83.84,71.97,79.86,2.166,41.661,0.891,59.96,20722.27,23258.24
174.28,67.91,57.35,64.87,2.091,45.034,0.887,60.01,16647.71,18769.9
174.62,76.79,65.83,73.43,2.205,42.918,0.887,59.96,18986.52,21406.95
171.86,77.48,65.48,74.32,2.125,43.758,0.893,60.07,18875.7,21148.94
172.1,79.2,66.84,75.25,2.137,42.415,0.895,59.94,19302.1,21577.76
172.21,80.57,68.45,76.12,2.16,40.881,0.896,59.88,19698.16,21990.42
172.56,73.15,61.72,69.77,2.047,43.655,0.89,59.98,17808.99,20002.0
173.0,74.34,62.45,70.73,2.07,43.275,0.894,59.85,18176.07,20328.08
174.26,62.7,51.8,59.44,2.007,47.186,0.886,60.25,15176.93,17129.08
174.2,57.53,47.5,55.2,1.962,48.974,0.882,59.86,13902.27,15761.95
174.35,62.97,51.55,60.06,2.057,49.335,0.885,60.06,15209.68,17176.46
174.26,66.73,55.64,64.13,2.015,46.29,0.891,60.06,16360.15,18370.33
174.42,66.91,56.02,63.51,2.138,44.568,0.889,60.08,16368.13,18409.25
174.86,72.65,60.59,69.01,2.218,44.758,0.891,60.09,17831.81,20008.52
174.51,85.47,72.83,82.4,2.077,42.879,0.892,59.89,21236.31,23807.59
175.1,78.29,66.8,75.52,2.105,42.604,0.892,59.82,19541.11,21898.88
173.83,74.91,63.39,71.95,2.173,43.958,0.89,60.05,18433.51,20702.24
173.23,62.64,52.04,60.06,1.991,47.147,0.886,59.96,15153.52,17105.99
173.26,67.79,57.14,65.12,2.078,45.979,0.884,59.84,16483.93,18639.34
174.04,68.11,56.81,65.28,2.027,47.546,0.883,59.81,16535.08,18716.64
174.5,60.68,50.9,57.75,2.035,47.142,0.88,59.95,14718.68,16724.17
