UAvg,IA,IB,IC,UTHDAvg,ITHDAvg,PF,F,PSum,SSum
175.25,50.13,40.86,48.37,1.955,52.623,0.872,60.17,11999.86,13764.55
175.42,54.88,44.32,52.16,1.95,50.576,0.883,60.24,13212.74,14959.53
173.42,58.19,48.79,56.3,1.996,50.07,0.874,59.84,13989.31,16013.1
173.63,61.45,51.09,58.59,2.178,46.847,0.884,60.03,14848.13,16795.44
173.29,59.63,49.51,56.61,2.113,47.772,0.881,59.78,14312.74,16240.44
174.49,59.44,49.6,56.36,2.154,46.559,0.884,60.17,14429.22,16331.06
173.68,58.9,48.64,56.01,2.067,47.101,0.885,60.07,14198.66,16048.66
173.49,67.98,56.63,64.59,2.086,45.609,0.89,60.05,16524.84,18565.77
173.46,59.08,48.99,56.16,2.137,47.229,0.886,60.12,14261.94,16101.4
173.01,57.48,47.37,54.63,2.127,47.368,0.886,59.98,13809.73,15586.69
173.26,64.97,53.7,61.62,2.115,47.981,0.882,59.86,15575.65,17651.75
173.45,57.81,48.12,55.42,2.082,49.079,0.878,59.99,13882.35,15819.81
173.3,52.74,43.53,50.84,1.946,51.79,0.871,59.97,12529.3,14391.73
173.42,57.14,47.33,54.2,1.965,49.268,0.877,59.92,13635.15,15556.21
174.02,50.95,41.35,48.02,1.976,49.532,0.883,60.09,12157.25,13771.72
174.17,49.43,41.58,46.4,2.011,47.601,0.875,60.02,11868.41,13565.1
173.93,52.05,43.18,48.29,1.984,45.1,0.885,60.03,12509.36,14133.22
174.04,50.04,41.8,46.41,2.138,45.812,0.882,60.02,12024.79,13638.79
174.38,48.88,40.39,45.34,1.933,47.326,0.88,60.03,11687.83,13283.47
173.88,54.02,44.55,50.06,2.119,44.054,0.891,59.88,13022.04,14620.23
174.19,72.82,60.52,68.24,2.195,44.157,0.89,60.02,17678.98,19873.46
173.8,63.5,52.97,59.25,2.064,44.026,0.887,59.96,15348.33,17300.63
173.77,56.53,47.43,52.88,1.967,45.895,0.881,59.96,13601.93,15442.92
174.2,59.67,49.6,56.31,1.971,46.898,0.881,60.1,14373.05,16318.32
173.86,48.72,40.49,45.98,1.945,49.808,0.873,59.97,11610.03,13298.1
173.28,47.11,38.58,44.17,1.878,50.945,0.869,59.86,11047.15,12711.14
173.49,64.64,54.1,60.75,2.22,46.109,0.881,60.31,15532.76,17637.51
172.66,60.88,50.97,57.31,2.169,47.935,0.873,60.03,14447.23,16539.95
172.51,62.1,51.9,58.44,2.122,47.189,0.878,60.01,14782.83,16841.09
172.11,64.78,54.72,61.13,2.296,45.091,0.881,60.08,15531.36,17624.66
171.58,56.93,46.63,52.92,2.098,48.235,0.878,59.86,13318.23,15173.65
171.29,60.32,50.3,56.24,2.027,45.839,0.883,59.95,14285.45,16184.86
173.18,45.79,37.32,42.61,1.878,49.046,0.876,60.02,10769.65,12296.03
173.29,53.44,43.56,49.69,2.06,46.849,0.886,60.2,12718.3,14356.92
172.37,69.43,57.8,64.96,2.142,43.62,0.892,59.95,16735.57,18756.88
172.73,80.21,68.21,75.88,2.187,42.416,0.889,59.98,19545.28,21976.79
172.3,59.43,50.24,55.69,1.918,46.396,0.879,59.98,14202.38,16160.86
172.09,55.92,45.88,52.26,1.815,47.969,0.881,60.08,13192.67,14982.28
173.47,55.99,46.69,52.42,1.812,47.659,0.876,60.09,13343.76,15234.09
172.81,58.19,48.37,54.78,2.015,49.759,0.87,59.98,13732.56,15775.9
172.88,70.79,60.59,65.74,2.071,42.143,0.883,60.01,17103.11,19370.39
173.65,64.41,54.34,59.95,2.083,45.288,0.879,60.17,15469.96,17603.23
173.11,64.24,54.64,59.52,2.06,44.988,0.874,60.08,15324.96,17541.45
172.0,68.46,59.42,63.55,2.164,43.532,0.873,60.02,16362.66,18751.61
170.78,74.95,65.47,70.37,2.317,42.104,0.88,59.92,18040.18,20501.26
172.21,72.91,63.69,69.05,2.225,42.787,0.878,60.0,17691.5,20159.42
171.37,78.77,69.51,74.63,2.207,41.206,0.88,60.08,19168.19,21773.58
172.4,83.28,73.79,79.29,2.281,40.95,0.881,60.05,20466.26,23228.01
172.52,86.37,76.93,81.39,2.296,39.58,0.88,59.92,21211.49,24098.45
171.32,87.61,77.95,83.38,2.171,41.19,0.878,59.86,21367.8,24328.98
171.47,98.41,88.57,94.03,2.193,38.885,0.881,59.99,24257.71,27519.58
172.62,82.44,72.75,77.78,2.1,41.848,0.878,60.14,20134.86,22929.04
172.38,96.24,85.93,91.51,2.359,38.9,0.884,60.07,23790.8,26924.08
171.96,95.03,85.6,90.35,2.198,38.793,0.879,60.14,23409.96,26624.23
173.83,88.61,78.93,84.58,2.269,40.555,0.878,60.03,21944.1,24999.19
173.42,85.81,76.07,81.78,2.126,41.01,0.879,60.02,21171.37,24087.75
173.92,85.24,75.56,81.34,2.313,39.952,0.884,59.98,21217.11,24005.91
173.18,79.37,70.54,76.14,2.326,41.05,0.881,60.04,19658.85,22315.11
172.89,84.13,74.92,80.16,2.212,39.913,0.883,60.01,20836.14,23593.61
172.8,81.61,71.59,77.45,2.357,39.507,0.887,59.84,20131.8,22695.9
172.63,96.54,86.36,92.72,2.507,38.044,0.887,59.91,24076.67,27144.91
172.12,91.3,81.28,87.59,2.29,37.611,0.89,59.89,22728.09,25535.34
171.55,96.61,86.07,92.72,2.246,37.362,0.891,60.1,24007.05,26941.21
171.43,92.3,82.62,89.39,2.33,38.072,0.89,60.07,22985.28,25836.38
171.34,85.63,75.97,82.5,2.414,39.706,0.885,60.02,21097.2,23828.89
171.43,86.42,76.69,82.9,2.285,39.28,0.887,59.91,21307.05,24034.5
171.56,88.16,78.96,84.92,2.465,37.759,0.889,59.96,21925.48,24668.45
171.93,82.26,72.97,79.64,2.329,39.391,0.888,60.08,20432.96,22998.43
172.1,97.21,86.5,94.12,2.414,38.027,0.892,60.13,24289.75,27244.77
172.08,98.64,88.28,95.8,2.519,36.756,0.894,60.06,24795.51,27735.56
172.45,97.46,86.54,94.34,2.485,37.899,0.893,60.06,24416.45,27342.02
172.91,93.97,83.34,91.09,2.484,36.351,0.898,60.1,23734.29,26431.34
174.69,86.58,75.52,83.49,2.389,37.907,0.898,60.29,21900.12,24388.47
171.95,82.86,72.19,80.74,2.411,38.695,0.899,59.96,20696.34,23029.74
172.44,91.94,79.78,88.61,2.382,38.004,0.9,60.12,22958.26,25502.53
172.08,93.04,81.26,89.82,2.447,36.377,0.903,60.08,23338.93,25843.02
171.9,86.6,75.56,84.14,2.41,37.679,0.901,60.06,21681.23,24056.93
171.48,92.54,81.45,89.54,2.343,36.674,0.9,60.07,23153.01,25715.15
171.0,91.34,80.31,88.91,2.261,37.437,0.9,60.02,22818.49,25340.87
170.81,97.21,85.3,94.32,2.34,37.163,0.901,59.95,24215.19,26888.76
170.8,100.5,89.11,97.22,2.386,36.212,0.898,60.09,25068.07,27903.79
170.69,91.38,79.78,87.8,2.257,38.086,0.898,60.2,22568.86,25134.82
170.59,92.78,81.59,89.35,2.267,37.539,0.898,60.12,22996.32,25606.18
170.15,92.11,80.21,88.69,2.306,38.459,0.898,59.97,22658.95,25245.23
170.67,97.72,86.51,94.31,2.402,37.722,0.894,59.96,24197.71,27073.79
170.79,113.46,101.23,110.07,2.604,35.806,0.896,60.0,28339.25,31612.43
170.57,104.66,93.03,101.56,2.564,36.148,0.898,59.99,26124.08,29076.66
171.02,105.69,94.85,102.99,2.548,35.805,0.896,59.97,26534.97,29600.1
171.27,100.92,89.27,97.34,2.578,36.583,0.897,60.03,25163.01,28045.01
171.6,97.59,86.38,94.49,2.595,37.37,0.895,59.98,24346.62,27210.34
172.89,84.05,73.92,81.18,2.598,38.389,0.895,60.07,21050.28,23527.2
173.27,83.06,73.32,79.65,2.429,39.145,0.89,60.18,20723.79,23295.89
172.81,86.45,76.53,83.74,2.414,39.002,0.891,60.08,21628.42,24278.02
173.25,82.26,72.43,79.09,2.588,39.319,0.89,60.03,20517.91,23058.65
172.64,107.43,96.93,104.33,2.738,35.57,0.894,60.05,27187.84,30414.99
173.25,92.1,81.3,88.93,2.537,38.314,0.893,59.98,23111.31,25875.4
173.69,101.03,90.31,97.9,2.595,37.223,0.894,60.03,25597.07,28642.57
174.39,98.72,89.05,96.42,2.503,36.851,0.893,60.29,25242.28,28272.04
170.96,105.54,94.01,102.0,2.483,36.214,0.896,59.97,26320.13,29384.58
172.93,99.18,89.06,96.4,2.476,36.073,0.896,60.09,25147.06,28075.06
173.49,94.11,83.47,90.68,2.375,37.188,0.896,60.14,23756.43,26516.19
